barrrr	name	director	writer	air date	code	rating
29	1	"Gay Witch Hunt"	Ken Kwapis	Greg Daniels	September 21, 2006	3001	9.11[51]
30	2	"The Convention"	Ken Whittingham	Gene Stupnitsky & Lee Eisenberg	September 28, 2006	3006	7.78[52]
31	3	"The Coup"	Greg Daniels	Paul Lieberstein	October 5, 2006	3002	8.89[53]
32	4	"Grief Counseling"	Roger Nygard	Jennifer Celotta	October 12, 2006	3003	8.83[54]
33	5	"Initiation"	Randall Einhorn	B. J. Novak	October 19, 2006	3005	8.46[55]
34	6	"Diwali"	Miguel Arteta	Mindy Kaling	November 2, 2006	3004	8.81[56]
35	7	"Branch Closing"†	Tucker Gates	Michael Schur	November 9, 2006	3007	8.05[57]
36	8	"The Merger"†	Ken Whittingham	Brent Forrester	November 16, 2006	3008	8.63[58]
37	9	"The Convict"	Jeffrey Blitz	Ricky Gervais & Stephen Merchant	November 30, 2006	3010	9.07[59]
3839	1011	"A Benihana Christmas"‡	Harold Ramis	Jennifer Celotta	December 14, 2006	30093014	8.44[60]
40	12	"Back from Vacation"	Julian Farino	Justin Spitzer	January 4, 2007	3011	8.80[61]
41	13	"Traveling Salesmen"	Greg Daniels	Michael Schur & Lee Eisenberg & Gene Stupnitsky	January 11, 2007	3012	10.12[16]
42	14	"The Return"†	Greg Daniels	Lee Eisenberg & Gene Stupnitsky & Michael Schur	January 18, 2007	3013	10.20[62]
43	15	"Ben Franklin"	Randall Einhorn	Mindy Kaling	February 1, 2007	3015	10.11[16]
44	16	"Phyllis' Wedding"	Ken Whittingham	Caroline Williams	February 8, 2007	3016	8.84[63]
45	17	"Business School"	Joss Whedon	Brent Forrester	February 15, 2007	3017	8.84[64]
46	18	"Cocktails"	J. J. Abrams	Paul Lieberstein	February 22, 2007	3018	8.30[65]
47	19	"The Negotiation"†	Jeffrey Blitz	Michael Schur	April 5, 2007	3019	6.74[16]
48	20	"Safety Training"	Harold Ramis	B. J. Novak	April 12, 2007	3020	7.71[66]
49	21	"Product Recall"	Randall Einhorn	Justin Spitzer & Brent Forrester	April 26, 2007	3025	7.56[67]
50	22	"Women's Appreciation"†	Tucker Gates	Gene Stupnitsky & Lee Eisenberg	May 3, 2007	3021	7.00[68]
51	23	"Beach Games"†	Harold Ramis	Jennifer Celotta & Greg Daniels	May 10, 2007	3022	7.20[69]
5253	2425	"The Job"‡	Ken Kwapis	Paul Lieberstein & Michael Schur	May 17, 2007	30233024	7.88[16]
5455	12	"Fun Run"‡	Greg Daniels	Greg Daniels	September 27, 2007	40014002	9.70[73]
5657	34	"Dunder Mifflin Infinity"‡	Craig Zisk	Michael Schur	October 4, 2007	40034004	8.49[74]
5859	56	"Launch Party"‡	Ken Whittingham	Jennifer Celotta	October 11, 2007	40054006	8.91[75]
6061	78	"Money"‡	Paul Lieberstein	Paul Lieberstein	October 18, 2007	40074008	8.50[76]
62	9	"Local Ad"	Jason Reitman	B. J. Novak	October 25, 2007	4009	8.98[77]
63	10	"Branch Wars"	Joss Whedon	Mindy Kaling	November 1, 2007	4010	8.39[78]
64	11	"Survivor Man"	Paul Feig	Steve Carell	November 8, 2007	4011	8.29[79]
65	12	"The Deposition"	Julian Farino	Lester Lewis	November 15, 2007	4012	8.86[80]
66	13	"Dinner Party"	Paul Feig	Gene Stupnitsky & Lee Eisenberg	April 10, 2008	4013	9.22[81]
67	14	"Chair Model"	Jeffrey Blitz	B. J. Novak	April 17, 2008	4014	9.81[82]
68	15	"Night Out"	Ken Whittingham	Mindy Kaling	April 24, 2008	4015	7.56[83]
69	16	"Did I Stutter?"	Randall Einhorn	Brent Forrester & Justin Spitzer	May 1, 2008	4016	7.67[84]
70	17	"Job Fair"	Tucker Gates	Lee Eisenberg & Gene Stupnitsky	May 8, 2008	4017	7.22[85]
7172	1819	"Goodbye, Toby"‡	Paul Feig	Jennifer Celotta & Paul Lieberstein	May 15, 2008	40184019	8.07[86]
7374	12	"Weight Loss"‡	Paul Feig	Lee Eisenberg & Gene Stupnitsky	September 25, 2008	50015002	9.20[89]
75	3	"Business Ethics"	Jeffrey Blitz	Ryan Koh	October 9, 2008	5003	8.99[90]
76	4	"Baby Shower"	Greg Daniels	Aaron Shure	October 16, 2008	5004	8.07[91]
77	5	"Crime Aid"	Jennifer Celotta	Charlie Grandy	October 23, 2008	5005	7.74[92]
78	6	"Employee Transfer"	David Rogers	Anthony Q. Farrell	October 30, 2008	5006	9.32[93]
79	7	"Customer Survey"	Stephen Merchant	Lester Lewis	November 6, 2008	5007	8.35[94]
80	8	"Business Trip"	Randall Einhorn	Brent Forrester	November 13, 2008	5009	8.18[95]
81	9	"Frame Toby"	Jason Reitman	Mindy Kaling	November 20, 2008	5008	8.40[96]
82	10	"The Surplus"	Paul Feig	Gene Stupnitsky & Lee Eisenberg	December 4, 2008	5013	8.33[97]
83	11	"Moroccan Christmas"	Paul Feig	Justin Spitzer	December 11, 2008	5010	8.79[98]
84	12	"The Duel"	Dean Holland	Jennifer Celotta	January 15, 2009	5011	8.50[99]
85	13	"Prince Family Paper"	Asaad Kelada	B. J. Novak	January 22, 2009	5012	8.74[100]
8687	1415	"Stress Relief"‡	Jeffrey Blitz	Paul Lieberstein	February 1, 2009	50165017	22.91[101]
88	16	"Lecture Circuit: Part 1"	Ken Kwapis	Mindy Kaling	February 5, 2009	5014	8.39[102]
89	17	"Lecture Circuit: Part 2"	Ken Kwapis	Mindy Kaling	February 12, 2009	5015	8.89[103]
90	18	"Blood Drive"	Randall Einhorn	Brent Forrester	March 5, 2009	5018	8.63[104]
91	19	"Golden Ticket"	Randall Einhorn	Mindy Kaling	March 12, 2009	5019	7.51[105]
92	20	"New Boss"	Paul Feig	Lee Eisenberg & Gene Stupnitsky	March 19, 2009	5020	7.95[106]
93	21	"Two Weeks"	Paul Lieberstein	Aaron Shure	March 26, 2009	5021	8.45[107]
94	22	"Dream Team"	Paul Feig	B. J. Novak	April 9, 2009	5022	7.20[108]
95	23	"Michael Scott Paper Company"	Gene Stupnitsky	Justin Spitzer	April 9, 2009	5023	7.94[108]
96	24	"Heavy Competition"	Ken Whittingham	Ryan Koh	April 16, 2009	5024	8.24[109]
97	25	"Broke"	Steve Carell	Charlie Grandy	April 23, 2009	5025	7.21[110]
98	26	"Casual Friday"	Brent Forrester	Anthony Q. Farrell	April 30, 2009	5026	7.31[111]
99	27	"Cafe Disco"	Randall Einhorn	Warren Lieberstein & Halsted Sullivan	May 7, 2009	5027	7.71[112]
100	28	"Company Picnic"	Ken Kwapis	Jennifer Celotta & Paul Lieberstein	May 14, 2009	5028	6.72[113]
101	1	"Gossip"	Paul Lieberstein	Paul Lieberstein	September 17, 2009	6001	8.20[116]
102	2	"The Meeting"	Randall Einhorn	Aaron Shure	September 24, 2009	6002	7.33[117]
103	3	"The Promotion"	Jennifer Celotta	Jennifer Celotta	October 1, 2009	6003	7.28[118]
104105	45	"Niagara"‡	Paul Feig	Greg Daniels & Mindy Kaling	October 8, 2009	60046005	9.42[119]
106	6	"Mafia"	David Rogers	Brent Forrester	October 15, 2009	6006	8.10[120]
107	7	"The Lover"	Lee Eisenberg	Lee Eisenberg & Gene Stupnitsky	October 22, 2009	6007	8.52[121]
108	8	"Koi Pond"	Reggie Hudlin	Warren Lieberstein & Halsted Sullivan	October 29, 2009	6009	8.20[122]
109	9	"Double Date"	Seth Gordon	Charlie Grandy	November 5, 2009	6008	7.94[123]
110	10	"Murder"	Greg Daniels	Daniel Chun	November 12, 2009	6010	7.76[124]
111	11	"Shareholder Meeting"	Charles McDougall	Justin Spitzer	November 19, 2009	6011	7.43[125]
112	12	"Scott's Tots"	B. J. Novak	Gene Stupnitsky & Lee Eisenberg	December 3, 2009	6013	8.10[126]
113	13	"Secret Santa"	Randall Einhorn	Mindy Kaling	December 10, 2009	6014	8.51[127]
114	14	"The Banker"	Jeffrey Blitz	Jason Kessler	January 21, 2010	6012	7.29[128]
115	15	"Sabre"	John Krasinski	Jennifer Celotta	February 4, 2010	6015	7.36[129]
116	16	"The Manager and the Salesman"	Marc Webb	Mindy Kaling	February 11, 2010	6016	7.40[130]
117118	1718	"The Delivery"‡	Seth GordonHarold Ramis	Daniel ChunCharlie Grandy	March 4, 2010	60186019	9.00[131]
119	19	"St. Patrick's Day"	Randall Einhorn	Jonathan Hughes	March 11, 2010	6017	7.51[132]
120	20	"New Leads"	Brent Forrester	Brent Forrester	March 18, 2010	6020	7.63[133]
121	21	"Happy Hour"	Matt Sohn	B. J. Novak	March 25, 2010	6021	7.17[134]
122	22	"Secretary's Day"	Steve Carell	Mindy Kaling	April 22, 2010	6022	6.30[135]
123	23	"Body Language"	Mindy Kaling	Justin Spitzer	April 29, 2010	6023	7.01[136]
124	24	"The Cover-Up"	Rainn Wilson	Gene Stupnitsky & Lee Eisenberg	May 6, 2010	6024	6.84[137]
125	25	"The Chump"	Randall Einhorn	Aaron Shure	May 13, 2010	6025	6.60[138]
126	26	"Whistleblower"	Paul Lieberstein	Warren Lieberstein & Halsted Sullivan	May 20, 2010	6026	6.60[139]
127	1	"Nepotism"	Jeffrey Blitz	Daniel Chun	September 23, 2010	7001	8.40[144]
128	2	"Counseling"	Jeffrey Blitz	B. J. Novak	September 30, 2010	7002	7.36[145]
129	3	"Andy's Play"	John Stuart Scott	Charlie Grandy	October 7, 2010	7003	6.95[146]
130	4	"Sex Ed"	Paul Lieberstein	Paul Lieberstein	October 14, 2010	7004	7.36[147]
131	5	"The Sting"	Randall Einhorn	Mindy Kaling	October 21, 2010	7005	6.87[148]
132	6	"Costume Contest"	Dean Holland	Justin Spitzer	October 28, 2010	7006	8.07[149]
133	7	"Christening"	Alex Hardcastle	Peter Ocko	November 4, 2010	7007	7.65[150]
134	8	"Viewing Party"	Ken Whittingham	Jon Vitti	November 11, 2010	7008	7.15[151]
135	9	"WUPHF.com"	Danny Leiner	Aaron Shure	November 18, 2010	7009	7.28[152]
136	10	"China"	Charles McDougall	Halsted Sullivan & Warren Lieberstein	December 2, 2010	7010	7.31[153]
137138	1112	"Classy Christmas"‡	Rainn Wilson	Mindy Kaling	December 9, 2010	70117012	7.18[154]
139	13	"Ultimatum"	David Rogers	Carrie Kemper	January 20, 2011	7013	8.26[155]
140	14	"The Seminar"	B. J. Novak	Steve Hely	January 27, 2011	7014	7.93[156]
141	15	"The Search"	Michael Spiller	Brent Forrester	February 3, 2011	7015	7.29[157]
142	16	"PDA"	Greg Daniels	Robert Padnick	February 10, 2011	7017	6.90[158]
143	17	"Threat Level Midnight"	Tucker Gates	B. J. Novak	February 17, 2011	7016	6.41[159]
144	18	"Todd Packer"	Randall Einhorn	Amelie Gillette	February 24, 2011	7018	6.12[160]
145	19	"Garage Sale"	Steve Carell	Jon Vitti	March 24, 2011	7019	7.07[161]
146	20	"Training Day"	Paul Lieberstein	Daniel Chun	April 14, 2011	7020	7.87[162]
147	21	"Michael's Last Dundies"	Mindy Kaling	Mindy Kaling	April 21, 2011	7021	6.85[163]
148	22	"Goodbye, Michael"†	Paul Feig	Greg Daniels	April 28, 2011	7022	8.42[164]
149	23	"The Inner Circle"	Matt Sohn	Charlie Grandy	May 5, 2011	7023	6.90[165]
150	24	"Dwight K. Schrute, (Acting) Manager"	Troy Miller	Justin Spitzer	May 12, 2011	7024	6.45[166]
151152	2526	"Search Committee"‡	Jeffrey Blitz	Paul Lieberstein	May 19, 2011	70257026	7.29[167]
153	1	"The List"	B. J. Novak	B. J. Novak	September 22, 2011	8002	7.64[169]
154	2	"The Incentive"	Charles McDougall	Paul Lieberstein	September 29, 2011	8001	6.70[170]
155	3	"Lotto"	John Krasinski	Charlie Grandy	October 6, 2011	8005	5.82[171]
156	4	"Garden Party"	David Rogers	Justin Spitzer	October 13, 2011	8004	6.08[172]
157	5	"Spooked"	Randall Einhorn	Carrie Kemper	October 27, 2011	8006	5.53[173]
158	6	"Doomsday"	Troy Miller	Daniel Chun	November 3, 2011	8003	6.15[174]
159	7	"Pam's Replacement"	Matt Sohn	Allison Silverman	November 10, 2011	8007	5.96[175]
160	8	"Gettysburg"	Jeffrey Blitz	Robert Padnick	November 17, 2011	8008	5.50[176]
161	9	"Mrs. California"	Charlie Grandy	Dan Greaney	December 1, 2011	8009	5.71[177]
162	10	"Christmas Wishes"	Ed Helms	Mindy Kaling	December 8, 2011	8010	5.79[178]
163	11	"Trivia"	B. J. Novak	Steve Hely	January 12, 2012	8011	5.90[179]
164	12	"Pool Party"	Charles McDougall	Owen Ellickson	January 19, 2012	8012	6.02[180]
165	13	"Jury Duty"	Eric Appel	Aaron Shure	February 2, 2012	8013	5.31[181]
166	14	"Special Project"	David Rogers	Amelie Gillette	February 9, 2012	8014	5.19[182]
167	15	"Tallahassee"	Matt Sohn	Daniel Chun	February 16, 2012	8015	4.38[183]
168	16	"After Hours"	Brian Baumgartner	Halsted Sullivan & Warren Lieberstein	February 23, 2012	8016	5.02[184]
169	17	"Test the Store"	Brent Forrester	Mindy Kaling	March 1, 2012	8017	4.95[185]
170	18	"Last Day in Florida"	Matt Sohn	Robert Padnick	March 8, 2012	8018	4.89[186]
171	19	"Get the Girl"	Rainn Wilson	Charlie Grandy	March 15, 2012	8019	4.87[187]
172	20	"Welcome Party"	Ed Helms	Steve Hely	April 12, 2012	8020	4.39[188]
173	21	"Angry Andy"	Claire Scanlon	Justin Spitzer	April 19, 2012	8021	4.35[189]
174	22	"Fundraiser"	David Rogers	Owen Ellickson	April 26, 2012	8022	4.17[190]
175	23	"Turf War"	Daniel Chun	Warren Lieberstein & Halsted Sullivan	May 3, 2012	8023	4.44[191]
176	24	"Free Family Portrait Studio"	B. J. Novak	B. J. Novak	May 10, 2012	8024	4.49[192]
177	1	"New Guys"	Greg Daniels	Greg Daniels	September 20, 2012	9001	4.28[196]
178	2	"Roy's Wedding"	Matt Sohn	Allison Silverman	September 27, 2012	9002	4.13[197]
179	3	"Andy's Ancestry"	David Rogers	Jonathan Green & Gabe Miller	October 4, 2012	9003	4.14[198]
180	4	"Work Bus"	Bryan Cranston	Brent Forrester	October 18, 2012	9004	4.28[199]
181	5	"Here Comes Treble"	Claire Scanlon	Owen Ellickson	October 25, 2012	9006	4.00[200]
182	6	"The Boat"	John Krasinski	Dan Sterling	November 8, 2012	9007	4.83[201]
183	7	"The Whale"	Rodman Flender	Carrie Kemper	November 15, 2012	9008	4.16[202]
184	8	"The Target"	Brent Forrester	Graham Wagner	November 29, 2012	9009	3.88[203]
185	9	"Dwight Christmas"	Charles McDougall	Robert Padnick	December 6, 2012	9010	4.16[204]
186	10	"Lice"	Rodman Flender	Niki Schwartz-Wright	January 10, 2013	9011	4.54[205]
187	11	"Suit Warehouse"	Matt Sohn	Dan Greaney	January 17, 2013	9012	4.15[206]
188	12	"Customer Loyalty"	Kelly Cantley	Jonathan Green & Gabe Miller	January 24, 2013	9013	4.19[207]
189	13	"Junior Salesman"	David Rogers	Carrie Kemper	January 31, 2013	9014	4.45[208]
190	14	"Vandalism"	Lee Kirk	Owen Ellickson	January 31, 2013	9015	3.97[208]
191	15	"Couples Discount"	Troy Miller	Allison Silverman	February 7, 2013	9016	4.15[209]
192	16	"Moving On"‡	Jon Favreau	Graham Wagner	February 14, 2013	9017	4.06[210]
193	17	"The Farm"	Paul Lieberstein	Paul Lieberstein	March 14, 2013	9005	3.54[211]
194	18	"Promos"	Jennifer Celotta	Tim McAuliffe	April 4, 2013	9018	3.44[212]
195	19	"Stairmageddon"	Matt Sohn	Dan Sterling	April 11, 2013	9019	3.83[213]
196	20	"Paper Airplane"	Jesse Peretz	Halsted Sullivan & Warren Lieberstein	April 25, 2013	9020	3.25[214]
197	21	"Livin' the Dream"‡	Jeffrey Blitz	Niki Schwartz-Wright	May 2, 2013	9021	3.51[215]
198199	2223	"A.A.R.M."‡	David Rogers	Brent Forrester	May 9, 2013	90229023	4.56[216]
200201	2425	"Finale"*	Ken Kwapis	Greg Daniels	May 16, 2013	90249025	5.69[217]
